canton,votes,yes,no,yesperc
Zürich,366414,39793,326621,10.86011997
Bern / Berne,279383,23844,255539,8.534520712
Luzern,119992,10099,109893,8.416184008
Uri,9203,552,8651,5.998044116
Schwyz,43728,2697,41031,6.167672887
Obwalden,11355,674,10681,5.93571114
Nidwalden,15412,927,14485,6.014793667
Glarus,8711,557,8154,6.394214212
Zug,34526,2614,31912,7.571105833
Fribourg / Freiburg,86687,4888,81799,5.63867708
Solothurn,68882,5149,63733,7.475102349
Basel-Stadt,47918,6712,41206,14.00726241
Basel-Landschaft,67027,5696,61331,8.498067943
Schaffhausen,30948,3364,27584,10.86984619
Appenzell Ausserrhoden,18340,1463,16877,7.977099237
Appenzell Innerrhoden,4172,215,3957,5.153403643
St. Gallen,132600,9727,122873,7.335595777
Graubünden / Grigioni / Grischun,50022,3473,46549,6.942945104
Aargau,163067,12608,150459,7.731791227
Thurgau,71626,5916,65710,8.259570547
Ticino,86302,5899,80403,6.835299298
Vaud,189956,10792,179164,5.681315673
Valais / Wallis,100814,3970,96844,3.937945127
Neuchâtel,45413,2679,42734,5.899191861
Genève,113510,10291,103219,9.066161572
Jura,19804,1170,18634,5.907897394
