canton,voted,yes,no,yesperc
Zürich,367085,74963,292122,20.4211558631
Bern / Berne,279337,57636,221701,20.6331420471
Luzern,120210,31434,88776,26.149238832
Uri,9178,2237,6941,24.3735018523
Schwyz,43687,10813,32874,24.7510701124
Obwalden,11392,2437,8955,21.3922050562
Nidwalden,15393,3688,11705,23.9589423764
Glarus,8700,1472,7228,16.9195402299
Zug,34535,7655,26880,22.1659186333
Fribourg / Freiburg,86731,28301,58430,32.6307779225
Solothurn,68918,17377,51541,25.2140224615
Basel-Stadt,48169,11867,36302,24.6361767942
Basel-Landschaft,66976,16008,50968,23.9010989011
Schaffhausen,31236,8517,22719,27.2666154437
Appenzell Ausserrhoden,18331,3731,14600,20.3534995363
Appenzell Innerrhoden,4169,869,3300,20.8443271768
St. Gallen,132695,31559,101136,23.783111647
Graubünden / Grigioni / Grischun,49847,10877,38970,21.820771561
Aargau,163195,37804,125391,23.164925396
Thurgau,71580,16242,55338,22.6906957251
Ticino,86458,25410,61048,29.3899928289
Vaud,189761,48739,141022,25.6844135518
Valais / Wallis,100783,32427,68356,32.1750692081
Neuchâtel,45353,12841,32512,28.3134522523
Genève,114399,34334,80065,30.0125001093
Jura,19784,8477,11307,42.8477557622
